start_row,end_row,raw_start_row,raw_end_row,start_time,end_time,n_points,extreme_type,extreme_value,extreme_time,peak_value,trough_value,methods,n_methods
0,3,0,1,2013-12-02 21:15:00,2013-12-02 21:30:00,4,trough,73.96732207,2013-12-02 21:15:00,78.14070732,73.96732207,"['B_rolling_med_resid', 'C_seasonal_resid']",2
310,355,312,353,2013-12-03 23:05:00,2013-12-04 02:50:00,46,trough,59.63744866,2013-12-04 02:00:00,77.56468667,59.63744866,['C_seasonal_resid'],1
802,859,804,857,2013-12-05 16:05:00,2013-12-05 20:50:00,58,trough,52.69490606,2013-12-05 20:10:00,63.28361665,52.69490606,['C_seasonal_resid'],1
1330,1344,1332,1342,2013-12-07 12:05:00,2013-12-07 13:15:00,15,trough,72.37723298,2013-12-07 12:45:00,78.04525536,72.37723298,['C_seasonal_resid'],1
1783,1820,1785,1818,2013-12-09 01:50:00,2013-12-09 04:55:00,38,peak,85.94402502,2013-12-09 03:45:00,85.94402502,79.95456621,['C_seasonal_resid'],1
2020,2061,2022,2059,2013-12-09 21:35:00,2013-12-10 01:00:00,42,trough,71.23972089,2013-12-10 01:00:00,80.72213046,71.23972089,['C_seasonal_resid'],1
2154,2197,2156,2195,2013-12-10 08:45:00,2013-12-10 12:20:00,44,trough,48.38789019,2013-12-10 10:15:00,51.67185689,48.38789019,['A_global_madz'],1
2200,2218,2202,2216,2013-12-10 12:35:00,2013-12-10 14:05:00,19,trough,49.52384528,2013-12-10 12:45:00,51.96366361,49.52384528,['A_global_madz'],1
2396,2421,2398,2419,2013-12-11 04:55:00,2013-12-11 07:00:00,26,peak,102.7362135,2013-12-11 06:00:00,102.7362135,98.92183056,['C_seasonal_resid'],1
3869,4077,3871,4075,2013-12-16 07:40:00,2013-12-17 01:00:00,209,trough,2.084721206,2013-12-16 17:25:00,102.9848334,2.084721206,"['A_global_madz', 'C_seasonal_resid', 'D_diff_madz']",3
4095,4101,4097,4099,2013-12-17 02:30:00,2013-12-17 03:00:00,7,trough,76.49140641,2013-12-17 02:45:00,80.06936263,76.49140641,['C_seasonal_resid'],1
4104,4149,4106,4147,2013-12-17 03:15:00,2013-12-17 07:00:00,46,trough,65.72196238,2013-12-17 04:30:00,81.99620081,65.72196238,['C_seasonal_resid'],1
5201,5220,5203,5218,2013-12-20 22:40:00,2013-12-21 00:15:00,20,trough,73.77393927,2013-12-20 23:15:00,81.23944542,73.77393927,['C_seasonal_resid'],1
5925,5953,5927,5951,2013-12-23 11:00:00,2013-12-23 13:20:00,29,trough,69.85628764,2013-12-23 12:40:00,78.14410981,69.85628764,['C_seasonal_resid'],1
6245,6255,6247,6253,2013-12-24 13:40:00,2013-12-24 14:30:00,11,trough,68.39481654,2013-12-24 14:10:00,71.53585418,68.39481654,['C_seasonal_resid'],1
6333,6357,6335,6355,2013-12-24 21:00:00,2013-12-24 23:00:00,25,trough,68.1805954,2013-12-24 22:05:00,73.66725354,68.1805954,['C_seasonal_resid'],1
6844,6848,6846,6846,2013-12-26 15:35:00,2013-12-26 15:55:00,5,peak,108.5105428,2013-12-26 15:45:00,108.5105428,106.4147969,['C_seasonal_resid'],1
7148,7180,7150,7178,2013-12-27 16:55:00,2013-12-27 19:35:00,33,trough,60.02576845,2013-12-27 19:05:00,79.41767181,60.02576845,"['C_seasonal_resid', 'D_diff_madz']",2
7225,7234,7227,7232,2013-12-27 23:20:00,2013-12-28 00:05:00,10,trough,67.99668051,2013-12-27 23:45:00,75.9146293,67.99668051,['C_seasonal_resid'],1
7243,7285,7245,7283,2013-12-28 00:50:00,2013-12-28 04:20:00,43,trough,59.15989372,2013-12-28 03:45:00,81.4082007,59.15989372,['C_seasonal_resid'],1
7297,7311,7299,7309,2013-12-28 05:20:00,2013-12-28 06:30:00,15,trough,64.99982552,2013-12-28 06:05:00,75.83087731,64.99982552,['C_seasonal_resid'],1
7454,7458,7456,7456,2013-12-28 18:25:00,2013-12-28 18:45:00,5,trough,74.13937297,2013-12-28 18:35:00,77.68528016,74.13937297,['C_seasonal_resid'],1
7463,7469,7465,7467,2013-12-28 19:10:00,2013-12-28 19:40:00,7,trough,74.81778379,2013-12-28 19:25:00,77.44478274,74.81778379,['C_seasonal_resid'],1
8775,8796,8777,8794,2014-01-02 08:30:00,2014-01-02 10:15:00,22,trough,67.06756693,2014-01-02 09:35:00,83.80003703,67.06756693,['C_seasonal_resid'],1
8881,8888,8883,8886,2014-01-02 17:20:00,2014-01-02 17:55:00,8,trough,74.72032183,2014-01-02 17:40:00,79.7920687,74.72032183,['C_seasonal_resid'],1
9681,9754,9683,9752,2014-01-05 12:00:00,2014-01-05 18:05:00,74,trough,52.39037967,2014-01-05 16:30:00,73.55889649,52.39037967,['C_seasonal_resid'],1
10024,10028,10026,10026,2014-01-06 16:35:00,2014-01-06 16:55:00,5,trough,72.54461682,2014-01-06 16:45:00,74.86198837,72.54461682,['C_seasonal_resid'],1
10046,10055,10048,10053,2014-01-06 18:25:00,2014-01-06 19:10:00,10,trough,73.35308341,2014-01-06 18:35:00,76.97299339,73.35308341,['C_seasonal_resid'],1
11663,11678,11665,11676,2014-01-12 08:10:00,2014-01-12 09:25:00,16,trough,77.995418,2014-01-12 09:05:00,90.3962641,77.995418,['C_seasonal_resid'],1
12009,12037,12011,12035,2014-01-13 13:00:00,2014-01-13 15:20:00,29,trough,63.4938718,2014-01-13 14:10:00,69.05746904,63.4938718,['C_seasonal_resid'],1
12072,12111,12074,12109,2014-01-13 18:15:00,2014-01-13 21:30:00,40,trough,59.26487556,2014-01-13 20:30:00,74.22009435,59.26487556,['C_seasonal_resid'],1
12481,12487,12483,12485,2014-01-15 04:20:00,2014-01-15 04:50:00,7,peak,105.5947708,2014-01-15 04:30:00,105.5947708,103.9438623,['C_seasonal_resid'],1
12822,12873,12824,12871,2014-01-16 08:45:00,2014-01-16 13:00:00,52,trough,57.54414908,2014-01-16 12:05:00,81.16392459999999,57.54414908,['C_seasonal_resid'],1
13442,13467,13444,13465,2014-01-18 12:25:00,2014-01-18 14:30:00,26,trough,71.70537164,2014-01-18 13:15:00,77.63993827,71.70537164,['C_seasonal_resid'],1
14021,14082,14023,14080,2014-01-20 12:40:00,2014-01-20 17:45:00,62,trough,64.64769075,2014-01-20 17:00:00,80.20253909,64.64769075,['C_seasonal_resid'],1
14567,14578,14569,14576,2014-01-22 10:10:00,2014-01-22 11:05:00,12,trough,68.36821036,2014-01-22 10:50:00,74.4245703,68.36821036,['C_seasonal_resid'],1
14585,14608,14587,14606,2014-01-22 11:40:00,2014-01-22 13:35:00,24,trough,65.26442828,2014-01-22 12:30:00,72.24081883,65.26442828,['C_seasonal_resid'],1
14917,14940,14919,14938,2014-01-23 15:20:00,2014-01-23 17:15:00,24,trough,72.95514605,2014-01-23 15:55:00,80.56368562,72.95514605,['C_seasonal_resid'],1
15127,15178,15129,15176,2014-01-24 08:50:00,2014-01-24 13:05:00,52,trough,51.33484803,2014-01-24 12:35:00,76.30541693,51.33484803,['C_seasonal_resid'],1
16101,16105,16103,16103,2014-01-27 18:00:00,2014-01-27 18:20:00,5,peak,76.11214345,2014-01-27 18:10:00,76.11214345,73.22796709,['C_seasonal_resid'],1
16468,16476,16470,16474,2014-01-29 00:35:00,2014-01-29 01:15:00,9,peak,80.30849368,2014-01-29 00:55:00,80.30849368,77.13224227,['C_seasonal_resid'],1
16525,16532,16527,16530,2014-01-29 05:20:00,2014-01-29 05:55:00,8,peak,79.74600225,2014-01-29 05:40:00,79.74600225,75.68891702,['C_seasonal_resid'],1
16613,16681,16615,16679,2014-01-29 12:40:00,2014-01-29 18:20:00,69,trough,48.92701514,2014-01-29 14:50:00,61.35410506,48.92701514,"['A_global_madz', 'C_seasonal_resid']",2
16720,16768,16722,16766,2014-01-29 21:35:00,2014-01-30 01:35:00,49,trough,78.38880236,2014-01-29 21:35:00,87.51434248,78.38880236,['C_seasonal_resid'],1
16877,16890,16879,16888,2014-01-30 10:40:00,2014-01-30 11:45:00,14,trough,74.65540973,2014-01-30 11:45:00,79.22350898,74.65540973,['C_seasonal_resid'],1
16929,17026,16931,17024,2014-01-30 15:00:00,2014-01-30 23:05:00,98,trough,46.62703434,2014-01-30 19:00:00,59.22001829,46.62703434,"['A_global_madz', 'C_seasonal_resid']",2
