id,月份,区域,产品,渠道,数量,单价,销售额,成本
1,2026-11,华东,A产品,代理,150,527.54,79131.0,34964.93
2,2026-02,华中,A产品,代理,226,111.98,25307.48,10834.35
3,2026-04,华中,A产品,代理,111,1446.24,160532.64,97988.72
4,2026-07,华南,D产品,代理,152,1628.39,247515.28,99488.67
5,2026-03,西南,C产品,线下,89,469.86,41817.54,26305.25
6,2026-02,华东,D产品,线上,193,1702.61,328603.73,190957.48
7,2026-01,西南,A产品,线下,50,1126.48,56324.0,36544.22
8,2026-10,华北,B产品,代理,45,139.36,6271.2,2937.24
9,2026-05,华东,B产品,线上,204,592.05,120778.2,71344.33
10,2026-06,华南,C产品,线下,117,1356.84,158750.28,96924.36
11,2026-11,华东,B产品,代理,383,527.38,201986.54,108805.72
12,2026-05,华中,B产品,代理,176,1693.56,298066.56,188616.51
13,2026-04,华东,C产品,线下,147,179.07,26323.29,17740.34
14,2026-10,华北,B产品,代理,265,821.48,217692.2,146803.84
15,2026-08,华南,C产品,线上,136,1502.73,204371.28,114793.96
16,2026-12,华中,D产品,代理,214,755.89,161760.46,113102.55
17,2026-03,华中,D产品,线上,396,141.88,56184.48,24321.97
18,2026-11,华南,D产品,代理,42,800.3,33612.6,19453.85
19,2026-08,华中,C产品,代理,450,1887.74,849483.0,513159.96
20,2026-02,华中,C产品,代理,184,267.53,49225.52,26110.67
21,2026-08,华东,C产品,代理,400,398.37,159348.0,107366.83
22,2026-11,华北,B产品,线上,201,1536.9,308916.9,173553.75
23,2026-09,华东,C产品,线下,19,268.14,5094.66,2592.64
24,2026-05,华南,A产品,线上,459,1156.35,530764.65,224846.3
25,2026-12,西南,A产品,代理,402,295.23,118682.46,70963.24
26,2026-09,华南,C产品,代理,456,1232.86,562184.16,387518.53
27,2026-09,华南,C产品,线下,353,1317.26,464992.78,247111.12
28,2026-09,西南,A产品,线上,125,174.85,21856.25,8880.42
29,2026-09,华南,B产品,线上,46,1430.29,65793.34,27479.39
30,2026-02,华东,C产品,线上,273,514.11,140352.03,84308.53
31,2026-04,华中,B产品,代理,488,1770.65,864077.2,494998.28
32,2026-04,西南,D产品,线上,58,239.02,13863.16,7337.98
33,2026-07,西南,D产品,代理,37,1363.06,50433.22,35063.67
34,2026-02,华东,D产品,代理,183,1611.16,294842.28,127602.05
35,2026-04,华南,D产品,线上,226,407.8,92162.8,49656.25
36,2026-02,西南,A产品,线上,343,1998.6,685519.8,446141.96
37,2026-02,华南,B产品,线下,258,988.65,255071.7,168193.03
38,2026-01,华南,D产品,线上,209,567.15,118534.35,75295.53
39,2026-08,华北,D产品,代理,500,1474.49,737245.0,468156.81
40,2026-11,西南,B产品,线上,161,474.52,76397.72,31899.49
41,2026-12,华中,A产品,代理,170,161.47,27449.9,15790.64
42,2026-09,华中,B产品,线上,270,206.22,55679.4,25375.75
43,2026-10,华东,B产品,线下,71,1886.11,133913.81,76451.75
44,2026-10,华中,A产品,代理,51,867.49,44241.99,25443.64
45,2026-09,华北,C产品,线上,352,1446.57,509192.64,240138.2
46,2026-07,华南,C产品,线下,171,1861.59,318331.89,216694.98
47,2026-01,西南,A产品,线上,285,465.65,132710.25,63642.54
48,2026-06,华东,B产品,线下,155,357.61,55429.55,36036.05
49,2026-12,华北,A产品,代理,428,1131.47,484269.16,329073.88
50,2026-02,华南,C产品,线上,465,258.72,120304.8,68088.56
51,2026-05,华北,B产品,代理,185,447.01,82696.85,48813.58
52,2026-05,华中,D产品,线下,473,1820.91,861290.43,357641.95
53,2026-11,西南,C产品,线上,11,700.44,7704.84,3384.32
54,2026-05,华南,D产品,代理,371,883.99,327960.29,132135.5
55,2026-02,华南,A产品,线下,308,1127.42,347245.36,183670.58
56,2026-01,华北,C产品,线上,470,747.73,351433.1,212483.48
57,2026-11,华东,C产品,代理,462,1755.69,811128.78,561423.68
58,2026-12,华南,B产品,线上,419,1631.0,683389.0,454060.64
59,2026-01,华南,C产品,线下,420,1356.32,569654.4,353480.39
60,2026-04,华北,B产品,代理,65,795.96,51737.4,21296.01
61,2026-08,华南,B产品,线下,189,645.12,121927.68,77863.46
62,2026-04,华南,A产品,代理,108,827.01,89317.08,43192.04
63,2026-02,华北,C产品,代理,270,829.37,223929.9,155484.59
64,2026-09,华北,A产品,线上,459,1942.28,891506.52,404360.92
65,2026-05,华东,A产品,代理,232,724.09,167988.88,106828.91
66,2026-07,华中,A产品,线下,470,1174.35,551944.5,262955.61
67,2026-12,西南,A产品,代理,483,1622.7,783764.1,475005.83
68,2026-12,华南,C产品,线下,45,1900.31,85513.95,57827.21
69,2026-10,华北,A产品,代理,470,635.63,298746.1,147217.72
70,2026-07,华北,D产品,代理,161,1131.1,182107.1,83323.47
71,2026-11,西南,B产品,代理,301,636.85,191691.85,108187.27
72,2026-01,华北,C产品,线上,230,1582.23,363912.9,211796.75
73,2026-06,西南,D产品,线下,355,466.72,165685.6,89794.28
74,2026-12,华南,A产品,线下,273,1344.51,367051.23,215010.62
75,2026-02,华南,C产品,线上,422,438.3,184962.6,75340.37
76,2026-04,西南,A产品,线下,222,1777.97,394709.34,226050.54
77,2026-12,西南,D产品,线下,134,337.76,45259.84,27440.44
78,2026-02,西南,B产品,线上,421,1918.03,807490.63,448470.06
79,2026-01,华中,B产品,线上,243,310.01,75332.43,40633.78
80,2026-09,华中,C产品,线下,323,1639.26,529480.98,353484.73
81,2026-07,华中,D产品,线上,390,1729.92,674668.8,360961.93
82,2026-04,华北,D产品,代理,132,585.47,77282.04,32709.24
83,2026-05,华南,C产品,线下,173,1791.4,309912.2,131456.48
84,2026-03,华南,D产品,代理,88,1427.52,125621.76,52669.27
85,2026-07,华北,D产品,线下,41,453.33,18586.53,9777.32
86,2026-10,华东,D产品,线下,13,1888.35,24548.55,12018.57
87,2026-07,西南,B产品,线下,122,582.22,71030.84,38761.0
88,2026-07,华北,D产品,代理,94,1688.99,158765.06,107303.35
89,2026-10,华中,A产品,线下,313,1150.56,360125.28,146978.15
90,2026-11,西南,B产品,线下,103,148.06,15250.18,7834.49
91,2026-04,西南,C产品,线下,399,1765.3,704354.7,340539.29
92,2026-07,华北,A产品,线下,19,1510.6,28701.4,11929.04
