月份,产品类别,地区,销售额,成本,利润,订单数,客户数
2025-01,电子产品,华东,125000,87500,37500,320,280
2025-01,电子产品,华南,98000,68600,29400,256,220
2025-01,电子产品,华北,87000,60900,26100,218,195
2025-01,服装,华东,76000,53200,22800,410,380
2025-01,服装,华南,65000,45500,19500,350,320
2025-01,服装,华北,54000,37800,16200,290,260
2025-01,食品,华东,45000,31500,13500,520,490
2025-01,食品,华南,38000,26600,11400,440,410
2025-01,食品,华北,32000,22400,9600,380,350
2025-02,电子产品,华东,118000,82600,35400,305,265
2025-02,电子产品,华南,92000,64400,27600,240,205
2025-02,电子产品,华北,82000,57400,24600,205,180
2025-02,服装,华东,82000,57400,24600,445,410
2025-02,服装,华南,71000,49700,21300,385,350
2025-02,服装,华北,58000,40600,17400,310,280
2025-02,食品,华东,48000,33600,14400,560,520
2025-02,食品,华南,41000,28700,12300,475,440
2025-02,食品,华北,35000,24500,10500,410,375
2025-03,电子产品,华东,135000,94500,40500,350,305
2025-03,电子产品,华南,105000,73500,31500,275,235
2025-03,电子产品,华北,95000,66500,28500,240,210
2025-03,服装,华东,79000,55300,23700,430,395
2025-03,服装,华南,68000,47600,20400,370,335
2025-03,服装,华北,56000,39200,16800,300,270
2025-03,食品,华东,52000,36400,15600,610,570
2025-03,食品,华南,44000,30800,13200,515,475
2025-03,食品,华北,38000,26600,11400,445,410
2025-04,电子产品,华东,142000,99400,42600,370,325
2025-04,电子产品,华南,112000,78400,33600,295,255
2025-04,电子产品,华北,101000,70700,30300,255,225
2025-04,服装,华东,85000,59500,25500,465,425
2025-04,服装,华南,74000,51800,22200,405,370
2025-04,服装,华北,61000,42700,18300,330,295
2025-04,食品,华东,55000,38500,16500,645,600
2025-04,食品,华南,47000,32900,14100,550,510
2025-04,食品,华北,41000,28700,12300,480,440
2025-05,电子产品,华东,148000,103600,44400,385,340
2025-05,电子产品,华南,118000,82600,35400,310,270
2025-05,电子产品,华北,106000,74200,31800,268,235
2025-05,服装,华东,88000,61600,26400,480,440
2025-05,服装,华南,77000,53900,23100,420,385
2025-05,服装,华北,63000,44100,18900,345,310
2025-05,食品,华东,58000,40600,17400,680,635
2025-05,食品,华南,50000,35000,15000,590,545
2025-05,食品,华北,44000,30800,13200,515,475
2025-06,电子产品,华东,155000,108500,46500,405,355
2025-06,电子产品,华南,125000,87500,37500,330,285
2025-06,电子产品,华北,112000,78400,33600,285,250
2025-06,服装,华东,92000,64400,27600,505,460
2025-06,服装,华南,81000,56700,24300,445,405
2025-06,服装,华北,66000,46200,19800,360,325
2025-06,食品,华东,62000,43400,18600,730,680
2025-06,食品,华南,53000,37100,15900,625,580
2025-06,食品,华北,47000,32900,14100,550,505
2025-07,电子产品,华东,162000,113400,48600,425,375
2025-07,电子产品,华南,132000,92400,39600,350,305
2025-07,电子产品,华北,118000,82600,35400,300,265
2025-07,服装,华东,95000,66500,28500,520,475
2025-07,服装,华南,84000,58800,25200,460,420
2025-07,服装,华北,69000,48300,20700,375,340
2025-07,食品,华东,65000,45500,19500,765,715
2025-07,食品,华南,56000,39200,16800,660,615
2025-07,食品,华北,50000,35000,15000,585,540
2025-08,电子产品,华东,158000,110600,47400,415,365
2025-08,电子产品,华南,128000,89600,38400,340,295
2025-08,电子产品,华北,115000,80500,34500,292,258
2025-08,服装,华东,90000,63000,27000,495,450
2025-08,服装,华南,79000,55300,23700,435,395
2025-08,服装,华北,65000,45500,19500,355,320
2025-08,食品,华东,63000,44100,18900,740,690
2025-08,食品,华南,54000,37800,16200,635,590
2025-08,食品,华北,48000,33600,14400,565,520
2025-09,电子产品,华东,168000,117600,50400,440,390
2025-09,电子产品,华南,138000,96600,41400,365,320
2025-09,电子产品,华北,122000,85400,36600,310,275
2025-09,服装,华东,98000,68600,29400,535,490
2025-09,服装,华南,86000,60200,25800,470,430
2025-09,服装,华北,71000,49700,21300,388,350
2025-09,食品,华东,68000,47600,20400,800,745
2025-09,食品,华南,59000,41300,17700,695,645
2025-09,食品,华北,52000,36400,15600,610,560
2025-10,电子产品,华东,175000,122500,52500,460,405
2025-10,电子产品,华南,145000,101500,43500,385,335
2025-10,电子产品,华北,128000,89600,38400,325,290
2025-10,服装,华东,102000,71400,30600,560,510
2025-10,服装,华南,90000,63000,27000,495,450
2025-10,服装,华北,74000,51800,22200,405,365
2025-10,食品,华东,72000,50400,21600,845,790
2025-10,食品,华南,62000,43400,18600,730,675
2025-10,食品,华北,55000,38500,16500,645,595
2025-11,电子产品,华东,182000,127400,54600,478,420
2025-11,电子产品,华南,152000,106400,45600,402,350
2025-11,电子产品,华北,135000,94500,40500,342,305
2025-11,服装,华东,108000,75600,32400,590,535
2025-11,服装,华南,95000,66500,28500,520,475
2025-11,服装,华北,78000,54600,23400,425,385
2025-11,食品,华东,76000,53200,22800,890,830
2025-11,食品,华南,66000,46200,19800,775,720
2025-11,食品,华北,59000,41300,17700,690,635
2025-12,电子产品,华东,195000,136500,58500,510,450
2025-12,电子产品,华南,165000,115500,49500,435,380
2025-12,电子产品,华北,145000,101500,43500,370,330
2025-12,服装,华东,115000,80500,34500,630,575
2025-12,服装,华南,102000,71400,30600,560,510
2025-12,服装,华北,84000,58800,25200,460,415
2025-12,食品,华东,82000,57400,24600,960,895
2025-12,食品,华南,71000,49700,21300,835,775
2025-12,食品,华北,64000,44800,19200,750,690
