start,end,n_methods,methods,min_value,max_value,verdict
2013-12-16 09:05:00,2013-12-16 09:05:00,1,m2_strict,48.83,48.83,APPENDIX
2013-12-16 15:30:00,2013-12-16 18:40:00,4,m1_strict;m2_strict;m3_strict;m4_strict,2.08,60.54,PRIMARY
2013-12-20 22:10:00,2013-12-20 23:10:00,1,m2_strict,74.69,83.82,APPENDIX
2013-12-24 20:00:00,2013-12-24 20:15:00,1,m2_strict,77.04,78.27,APPENDIX
2013-12-24 21:30:00,2013-12-24 22:10:00,1,m2_strict,68.18,69.61,APPENDIX
2013-12-26 09:30:00,2013-12-26 09:30:00,1,m2_strict,95.53,95.53,APPENDIX
2013-12-27 23:30:00,2013-12-28 00:25:00,1,m3_strict,68.0,81.24,APPENDIX
2013-12-28 01:35:00,2013-12-28 01:40:00,1,m2_strict,66.47,67.37,APPENDIX
2013-12-28 02:50:00,2013-12-28 06:15:00,2,m2_strict;m3_strict,59.16,86.46,PRIMARY
2014-01-02 08:30:00,2014-01-02 09:55:00,2,m2_strict;m3_strict,67.07,80.77,PRIMARY
2014-01-02 17:30:00,2014-01-02 17:45:00,1,m3_strict,74.72,75.69,APPENDIX
2014-01-05 06:30:00,2014-01-05 06:30:00,1,m2_strict,83.11,83.11,APPENDIX
2014-01-05 07:45:00,2014-01-05 07:45:00,1,m2_strict,83.74,83.74,APPENDIX
2014-01-05 11:50:00,2014-01-05 14:30:00,1,m2_strict,57.43,73.47,APPENDIX
2014-01-05 15:35:00,2014-01-05 16:20:00,1,m2_strict,52.9,55.89,APPENDIX
2014-01-06 05:55:00,2014-01-06 07:45:00,1,m2_strict,80.9,84.42,APPENDIX
2014-01-06 16:45:00,2014-01-06 16:45:00,1,m3_strict,72.54,72.54,APPENDIX
2014-01-12 08:30:00,2014-01-12 09:10:00,1,m3_strict,78.0,82.1,APPENDIX
2014-01-13 11:40:00,2014-01-13 11:45:00,1,m3_strict,80.26,80.72,APPENDIX
2014-01-13 13:25:00,2014-01-13 13:25:00,1,m2_strict,64.09,64.09,APPENDIX
2014-01-13 19:00:00,2014-01-13 20:30:00,1,m2_strict,59.26,64.42,APPENDIX
2014-01-20 16:35:00,2014-01-20 17:30:00,1,m2_strict,64.89,72.73,APPENDIX
2014-01-21 03:15:00,2014-01-21 03:35:00,1,m2_strict,78.48,79.87,APPENDIX
2014-01-22 01:45:00,2014-01-22 01:45:00,1,m3_strict,76.5,76.5,APPENDIX
2014-01-22 03:15:00,2014-01-22 03:15:00,1,m2_strict,80.95,80.95,APPENDIX
2014-01-24 10:45:00,2014-01-24 12:10:00,1,m2_strict,53.25,60.47,APPENDIX
2014-01-24 20:10:00,2014-01-24 20:45:00,1,m2_strict,81.04,81.05,APPENDIX
2014-01-24 22:05:00,2014-01-25 00:30:00,1,m2_strict,81.23,83.55,APPENDIX
2014-01-25 04:30:00,2014-01-25 04:30:00,1,m2_strict,80.47,80.47,APPENDIX
2014-01-25 22:30:00,2014-01-25 22:30:00,1,m2_strict,84.03,84.03,APPENDIX
2014-01-25 23:40:00,2014-01-25 23:40:00,1,m2_strict,85.08,85.08,APPENDIX
2014-01-27 15:15:00,2014-01-27 17:05:00,1,m2_strict,62.65,64.65,APPENDIX
2014-01-27 18:10:00,2014-01-27 18:10:00,1,m3_strict,76.11,76.11,APPENDIX
2014-01-27 19:55:00,2014-01-28 03:05:00,1,m2_strict,58.13,65.97,APPENDIX
2014-01-28 03:40:00,2014-01-28 03:40:00,1,m3_strict,73.48,73.48,APPENDIX
2014-01-28 04:15:00,2014-01-28 04:35:00,1,m2_strict,66.66,69.9,APPENDIX
2014-01-28 06:15:00,2014-01-28 09:45:00,1,m2_strict,59.62,64.26,APPENDIX
2014-01-28 15:05:00,2014-01-28 18:40:00,1,m2_strict,51.79,58.0,APPENDIX
2014-01-28 19:40:00,2014-01-28 19:45:00,1,m3_strict,69.55,70.44,APPENDIX
2014-01-28 20:40:00,2014-01-28 22:40:00,1,m2_strict,58.32,67.48,APPENDIX
2014-01-28 23:45:00,2014-01-29 00:15:00,1,m2_strict,75.44,75.97,APPENDIX
2014-01-29 02:05:00,2014-01-29 02:05:00,1,m3_strict,67.74,67.74,APPENDIX
2014-01-29 09:20:00,2014-01-29 09:25:00,1,m3_strict,79.64,80.04,APPENDIX
2014-01-30 17:50:00,2014-01-30 19:20:00,1,m2_strict,46.63,50.91,APPENDIX
2014-01-30 22:25:00,2014-01-30 23:20:00,1,m2_strict,57.58,58.08,APPENDIX
2014-02-03 11:35:00,2014-02-03 11:55:00,1,m4_strict,43.92,60.11,APPENDIX
2014-02-07 20:30:00,2014-02-07 23:50:00,1,m2_strict,45.35,50.81,APPENDIX
2014-02-08 02:00:00,2014-02-09 12:10:00,3,m1_strict;m2_strict;m4_strict,25.89,69.6,PRIMARY
2014-02-12 21:05:00,2014-02-12 21:05:00,1,m2_strict,97.39,97.39,APPENDIX
2014-02-13 19:25:00,2014-02-13 19:50:00,1,m3_strict,75.98,81.54,APPENDIX
2014-02-13 23:05:00,2014-02-13 23:30:00,1,m3_strict,73.8,78.57,APPENDIX
2014-02-14 21:05:00,2014-02-14 21:10:00,1,m2_strict,98.55,99.28,APPENDIX
2014-02-18 14:40:00,2014-02-18 14:55:00,1,m3_strict,80.97,83.73,APPENDIX
